participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0370,R_21vqEmRVdX7c7dy,Nonsense,Bullswool,,No,Often,No
A0371,R_W9ikKBdGbvLxNVn,Nonsense,Malarky or boloney,,,,
A0372,R_3jUJE7gPf3kqbGQ,Nonsense,Load of old cobblers,,"What a load of old cobblers - response to say, an anti-vaxxer",My parents used to say it a lot (probably to me),Not 100% sure it's Australian. Could be British
A0373,R_2EcJdTzVjzl3Wz7,Nonsense,gibberish,,The deputy prime minister talks such gibberish,Learnt as a child,
A0375,R_3PLcekkQwaQW45A,Nonsense,Bullshit,,That's bullshit,All the time,
A0376,R_2wgiBnSE42Wsbsm,Nonsense,Bullshit,,"Oh, that's bullshit",,Still current
A0377,R_2UfKMEd8R86tx4s,Nonsense,Not sure but I'm happy to use fucken and mate as parentheses.,,"Eg. That's fucken bullshit mate. Or, that utter fucken piffle mate.",Growing up. When I listen to lots of people at work.,Nah
A0378,R_1JW5DtmzWMyKdwM,Nonsense,Scallywag,,When someone is one,Mum and dad,No
A0379,R_2saw8fDhZaEqaIC,Nonsense,a bit rubbish,,thats a bit rubbish,conversation,
A0380,R_3LZpoXt3Bi5EYKE,Nonsense,Bullshit,,What a load of bullshit,,
A0381,R_xapQTtfsd8GKxLr,Nonsense,rubbish,,You are talking rubbish,,
A0382,R_Aar1gSoIGnr9fhf,Nonsense,malarky,,What a load of malarky,Parents,a bit old fashioned
A0383,R_2xJfuaZxIk3Ld9B,Nonsense,horseshit,,,,"i also use codswallop, but not sure its aussie.?"
A0384,R_2f8bd0Z4JVoaEok,Nonsense,balderdash,,That's pure balderdash,General discussion,
A0385,R_qw3vmFAwiGmWhm9,Nonsense,"Bullshit, crap",,,,
A0386,R_3iIjYpNaBb4y6xO,Nonsense,malarkey,,get a load of the malarkey this bloke is spewing out,older generations,
A0387,R_DvfeRhzFeY3IWSB,Nonsense,BS,,Scott Morrison talks a lot of BS,Often,
A0388,R_9vlOeRrnaZpohZT,Nonsense,Codswallop,,"""What a load of codswallop""","Family, friends",
A0389,R_1FQZYrTrsgL62Cm,Nonsense,"bulldust, bullshit or bullcrap",,"naaa, Ken that's a load a bullcrap.",everywhere,
A0390,R_2OGskOFNVX5Vs3c,Nonsense,bulldust,,what a load of bulldust,common when being polite,
A0391,R_3FVwVaKu5wQfnQ1,Nonsense,Gammon,,used in Far North Queensland,on a mining site by an indigenous colleague of my husband,
A0394,R_R3jYoKooRycal2N,Nonsense,A crock,,A crock of shit,,
A0396,R_1C3edwbsDFDFUZI,Nonsense,Crock of shit,,Scott Morrison's speech on climate change is a complete crock of shit,Couple days ago? From my sister.,We learned this one in rural Victoria
A0398,R_2t4Nwbv4U5EdYvQ,Nonsense,Bullshit,,That's total bullshit!,From when I was young,
A0399,R_1CvX4eIAUkq20wB,Nonsense,"Bullshit, crap",,,,
A0401,R_262u0RqwdZQhB09,Nonsense,Bullshit,,"You are just talking bullshit, mate.",No and then.,
A0402,R_2Yblj6P192v6bss,Nonsense,bulldust,,That story is bulldust,School,
A0403,R_ZdFaYEZjqFMW7Gp,Nonsense,bull shit or frogshit,,That is an unbelievable story and it is absolute bullshit/frogshit,EVERYWHERE AND RECENTLY,
A0405,R_1P8iEgwaCwB8i6R,Nonsense,noise,,that is just noise,heard,
A0406,R_3fDcUBxKCrb6gtE,Nonsense,Crap,,She has no idea about this; she just speaks a load of crap.,School and workplace,No
A0407,R_2SdammUdSbjnDNx,Nonsense,wigwam for a goose's bridle,,"In answer to a question as to what a thing is, ""a wigwam for a goose's bridle""","in answer to a question, ususally put to one of my parents, when they didn't want to answer properly or it was considered not suitbale for a child to know",
A0408,R_3iKGxvWskwqSMiP,Nonsense,"Bullshit, load of crap",,Not necessary,Often,
A0409,R_vkROl2FIk3h0rCx,Nonsense,A Load of rubbish,,He's talking rubbish or what a load of rubbish,All my life,
A0411,R_1mxd4LyLrdZOM7v,Nonsense,"Bullshit, gobbeldygook",,Most of what comes out of politicians' mouths is bullshit/gobbeldygook,Political discussions,Seems to be quite accurate.
A0412,R_2oAJ2H6JTsoZuYp,Nonsense,Bullshit or garbage are two.,,He talks a lot of bullshit or garbage.,All the time from young.,
A0413,R_2cdcW6xmMLteYIe,Nonsense,crock of shit,,"That's a crock of shit, mate","mainly older people, I think","could be shortened to just ""crock"""
A0414,R_ymXuvOkULhslavf,Nonsense,Crap,,You're just talking crap.,Everyday conversation with friends,
A0417,R_AcdHzaC8Yl3EE6d,Nonsense,bullshit; off with the fairies; screw loose;,,"Rowan Dean's arguments are just so much bullshit, mate. He's off with the fairies mostly",common,
A0418,R_3DwqGDJvyolxfQ2,Nonsense,crock,,what you are saying is a crock,between mates,
A0420,R_esNJZxY6rMtL9Kh,Nonsense,absolute rubbish,,that is absolutely rubbish,all my life,
