participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A1549,R_3eaSPvxmAGqqyFw,Very Bad,Horse shit,,Had a horse shit of a day at work.,At the pub after a day of work to describe said bad day.,"Also used interchangeably: dog shit, shark shit, rat shit"
A1550,R_3gMcgjFQjVC2fOF,Very Bad,Dodgy,,That tucker was dodgy. I hugged the dunny upchucking,Still common usage...informal language.,Seems to cover the seriously bad to the slightly dodgy!
A1551,R_1Crtb3citJbN2Ld,Very Bad,A shocker!,,This heatwave's a shocker!,"Probably fairly often, more recently than 'bonza'.",
A1552,R_WBBOW9kBeDDCFqx,Very Bad,Shitty,,It's the shittiest job on earth,Anywhere,
A1553,R_88uJnw9jSDiyDf3,Very Bad,Bollocks,,,,
A1556,R_26kUSCv9RHm6DeP,Very Bad,rooted,,this situation is so rooted,Melbourne 90s,
A1557,R_1fZNmpOc8g0v89r,Very Bad,Shithouse,,He was in a shithouse mood,,
A1559,R_2XjGCSLX755Pxq7,Very Bad,As crook as Rookwood,,Scott Morrison's promises are as crook as Rookwood,Growing up,Obviously the reference is to Rookwood Cemetary and the connotations that come with that
A1561,R_1H0qnWVrgGgOmWr,Very Bad,Shithouse,,"""I'm sorry, there was a mixup with your pathology results - turns out it was arse cancer after all."" ""Well that's fucken shithouse.""",All over the place.,
A1562,R_1IMJT52f9ufjQGS,Very Bad,shithouse,,The weather has been shithouse lately.,Always and everywhere,
A1563,R_Y4f7ThwZR9ltCV3,Very Bad,That's fucked,,That car is fucked,,
A1564,R_3feD2y5H8IgkmIp,Very Bad,sh'ouse (abbreviativo of 'shit house',,,,
A1565,R_1laEIyMLO9HzSiM,Very Bad,shithouse,,That movie was shithouse.,Casual conversation,contains profanity; commonly used
A1569,R_2zkYha4mMlhzdrx,Very Bad,Barry,,Everything went wrong. It was a complete barry.,General conversation. Often when describing someone's day,
A1572,R_3jTN3Y2lAkcY6Yq,Very Bad,Dead dingo,,That smells worse than a dead dingo,My grandad and uncle use this when someone farts and it stinks,
A1573,R_2qem2Zfv4XcE2e2,Very Bad,Shithouse,,I woke up feeling really shithouse today.,"I still hear it but usually now from people over 40. Younger people tend to just say ""I woke up feeling really shit/like shit"".","My straight-laced Methodist cousin from North Carolina was shocked to see Jacque Lambie quoted on the front page of The Canberra Times saying ""It really shits me that.."""
A1574,R_1KoIogW0Wv4kIM2,Very Bad,Sucks,,That sucks,,
A1575,R_1gN4kuHbsinFPhU,Very Bad,fucked,,that's completely fucked,when something terrible has happened or someone has done something awful,
A1576,R_3dLhYz2pCvk012t,Very Bad,Crappy,,I feel crappy today,"Home, work, out and about",
A1577,R_1gLugXMr3sAlPFJ,Very Bad,shithouse,,this minesite is shithouse now,"lots when I was younger, occasionally",can be adjective or noun
A1578,R_1HnvbabHkdXogPE,Very Bad,The pits,,I had an awful day at work. It was the pits.,I use it fairly regularly,
A1579,R_0SNBafqtvxIeD1D,Very Bad,Gross,,The picture on the wall was gross,Family,
A1580,R_BMvTPKCzTldt9El,Very Bad,Crock of shit,,That book was a crock of shit,Everywhere,
A1581,R_2ZX5eIdQBtGMtqH,Very Bad,Crap,,Thats a crap job,Work,Nah
A1582,R_ugfgAI1odHD1ekp,Very Bad,Cooked,,"Mate, the car's cooked.",Generally around younger Australians.,
A1583,R_bHJjN1Ug7aKJuVP,Very Bad,Its shit mate. or its cactus buddy,,Shit car won't start. its a bomb. or your car is cactus mate,cactus has been used to describe Melbourne's traffic at peak hour,
A1585,R_3nSPja7TkjB25gB,Very Bad,shit,,A shit run of luck,,
A1586,R_2tgR43F8fcfOVb9,Very Bad,Shitful,,,,
A1589,R_AsWKhEbwWtaQ7D3,Very Bad,Shithouse,,That crap Holden Torana you bought from that shonky car yard is absolutely shithouse.,"Workplace, literature, film and television, friends and relatives",
A1590,R_cSEUruYHW1GU0E1,Very Bad,"shit, shithouse",,that was fucking shithouse,from various people,
A1591,R_1JVNHeBVB7uMPop,Very Bad,shithouse,,"don't see that movie/go to that cafe, it's shithouse",friends,"i'm not sure i hear it very often, but it sprang to my mind immediately"
A1592,R_32OV4ZwyPhUP2sO,Very Bad,Shithouse,,"""I can't believe they did that - that's shithouse""",All over the place - very common,
A1593,R_21h69ds9T2gtu95,Very Bad,crap,,,,
A1594,R_21FXccPXczAIWPL,Very Bad,Piss poor,,That was a piss poor performance from the team,Social conversations,
A1596,R_3qTMPM8ETSaIGwb,Very Bad,munted,,that umpiring decision was munted,"sport, politics, friends",
A1597,R_xlbnZJZv3ChtlTz,Very Bad,That's a bugger,,,My dad,
A1598,R_268YCidWR6tD7ZA,Very Bad,Gammon,,"Student to teacher, ""Sir, that's Gammon.""",Darwin,Appears to be linked to indigenous culture
A1599,R_1JLbo2V2Gdx81M4,Very Bad,dodgy,,That car repair place you recommended is really dodgy; the car is now worse than it was before they ''fixed'' it!,"Often, conversations with friends & family, also in the media","Is applied to behaviour, and morals/ethics, as well as concrete objects"
