participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0993,R_3matBwDk03XS07L,Very Bad,feral,,Those burgers were feral,Among friends,
A0994,R_27D29FRWoH7scQd,Very Bad,Shithouse,,This internet is shithouse,Everday use,
A0998,R_ezhH2ziaHR8j8KB,Very Bad,shithouse,,that's a shithouse thing to say,,
A1000,R_RElOtQ5UNlDmOWZ,Very Bad,cactus,,The motor's stuffed. It's cactus.,Another expression common in my youth but not apparent before the 1950s.,"This, also, is fading from use."
A1001,R_XInK5ogDD1p5mHD,Very Bad,Rat Shit,,What a rat shit statement about COVID,I said it when reading today's newspaper,
A1002,R_PMdnBoX9GAAD2Zr,Very Bad,Lousy or kleiner.or crummy.,,That was a lousy act by that bloke to punch his missus.,Universally.,"The louse is a parasitic insect, which might explain it."
A1003,R_7WLgmlFWAyJ85t7,Very Bad,Crap,,Lockdown is crap,Everyday during lockdown,
A1005,R_2bK795msS6dkY9N,Very Bad,mickey mouse,,for a cheap watch that won't last,,
A1009,R_A7GJOotECrEGlnX,Very Bad,ratso,,It is so badly damaged that it is now ratso.,Very occasionally ithin the family when something is damaged and cannot be fixed.,
A1010,R_1H1xYBFYw8QijAM,Very Bad,Mongrel,,"""You mongrel!"" For frustration, pain or anger. Eg you fall over a chair",Growing up we used it. We weren't allowed to swear and mongrel was the alternative word,Rotten mongrel if something is really bad
A1011,R_pQu0k0X4cyebV9n,Very Bad,Gone bugger up,,It's all gone bugger up.,My father used it.,
A1012,R_zeP3TgIrjvoSgFj,Very Bad,That's fucked,,"They stole everything! Oh mate, I'm really sorry. That's fucked.",Everywhere,
A1014,R_riNvgsiCfbhfW6t,Very Bad,Shit,,,,
A1016,R_2wuI0YpbIyfpxGe,Very Bad,Shithouse,,Great restaurant but shithouse wine list,See before,Sometimes abbrev to 'shouse'.
A1017,R_3RvChXurS7goYUt,Very Bad,stinking mongrel bastard,,get the bloody hell out here you stinking mongrel bastard,outback,think it is from the west
A1018,R_1CBgNEi4dQFjDGH,Very Bad,Shocka (shocker but pronounced with the a on the end with the Aussie drawl),,Did you see that car crash? What an absolute shocka it was...,Gorwing up and in Aussie movies.,
A1019,R_2BgLpcMGihjVG41,Very Bad,"Crap, crappy.",,Giving a crap about something. Saying something broken or worthless is crap. Just not good,Just generally,Also I couldn't give a crap - I don't care
A1020,R_ZICYWNANFImq1vr,Very Bad,shocker,,That pie was an absolute shocker,By anyone watching scomo's presser,
A1021,R_Cf58aRCJJtV5yCJ,Very Bad,Bastardary,,An act of bastardary,1950's Melbourne,
A1022,R_2DTXWVgmiYXbAUG,Very Bad,Fucked,,This lockdown is fucked,Everywhere,It's the finest word in the language
