participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0528,R_3DbSFBUOBtI1Xdf,Arrogant,blow hard,,He's a bit of a blow hard,everywhere,
A0529,R_3Pzd9mvxIps8dRA,Arrogant,'Full of him/her self',,"'Look at him showing off, he's so full of himself'",1990s onwards in Canberra,Not sure it's Aussie only
A0530,R_3NBPU8iSwrLfncK,Arrogant,from the Shire,,What are you from the Shire?,"It's more recent, late '00s onwards, exclusively in Sydney, mostly in the South-West and Inner West.","Refers specifically to the Sutherland Shire peeps. I have heard an equivalent ""from the Hills"" meaning the Hills District of Sydney, but only rarely."
A0531,R_1QMW4Q6tA4FO4KI,Arrogant,To be a complete wanker or up one's self,,,,
A0533,R_BG0RoJ3FUwC7Fpn,Arrogant,Up themselves,,,,
A0537,R_3nw9NxDLbX9h0E2,Arrogant,up themselves,,usually referring to an upstart who fancies him/herself more knowledgeable than most,Best putdown to one such - I'm more eruditer than you,Usually refers to a younger person trying to intimidate older wiser folk
A0538,R_3PBjtjabKqtbD2p,Arrogant,Figjam,,They're full of figjam,,
A0539,R_2sRo2vOhn401jwN,Arrogant,"Stuck-up prick, or if referring to someone particularly dislikeable, stuck-up arsehole.",,Our member of Parliament is a stuck-up prick.,Can't recall particular occasions.,This expression would be high on the list of expressions usually used for the thoroughly disliked.
A0540,R_2c6JKy7zhniek7p,Arrogant,King dick,,He thinks he is a king dick,Discussion of some politicians etc,
A0542,R_9HXk7GpXVo6KNgt,Arrogant,thinks his shit don't stink,,Thnks his shit don't stink,Years ago,
A0543,R_3MEh94CnkPeUBXx,Arrogant,Up himself/herself,,,,
A0545,R_1OPGtApOGYXQhSh,Arrogant,Up himself,,He's up himself.,,
A0547,R_278rPbJGmc5Wh6N,Arrogant,Up ones self.,,The new boss is so up himself.,Have heard on numerous occasions.,
A0548,R_1oIjESLljr9vneN,Arrogant,Arrogant arsehole,,Arrogant arsehole,Usually said quietly at the end of a discussion about someone Dad had encountered at work.,
A0549,R_6D7jtYQhfzJEbEB,Arrogant,Smartarse,,Our prime minister is a real smartarse.,All my life. Australia wide.,
A0551,R_3EaPhurCbUhOB8w,Arrogant,Up them selves,,He is so up himself,Generally growing up more at high school but used as an adult,No
A0552,R_r8Br5WvHb7luZnH,Arrogant,Nob,,That bloke is a real nob,,
A0553,R_2TvIjwK6hPJKFpb,Arrogant,wanker,,Those wankers from Toorak...,Comedy video,
A0554,R_1OVyecCttlgDoJ1,Arrogant,Arsehole,,He's an absolute arrogant arsehole,Growing up,No
A0556,R_31nhXsDMCKxpmLP,Arrogant,gee they are up themselves,,as above,school,
A0557,R_1jx2LTLnMVNrXdW,Arrogant,"Has an oily rag under his nose, has his head stuck up his arse, so full of himself",,Brad Hazzard has his head stuck up his arse,"Frequently in social circles about professional people including actors, politicians, business people or colleagues",You cannot like such a person
A0558,R_3KH3TF2byRXKTf0,Arrogant,5ft tall and 6ft up themselves.,,,,
A0559,R_300Odo3JKSaluyW,Arrogant,Hoity toity,,"Oooh you're a bit hoity toity, aren't you?",Primary school years ago,It may be English
A0560,R_ykHQVmLrMI4rpf3,Arrogant,up himself,,"God, he is so up himself.",work,
A0561,R_2xLA3mwUOFDVlRm,Arrogant,Wanker,,Don't be such a wanker!,All the time growing up and still use it.,"I read a book for tourist once that gave the meanings for Aussie Slang. The definition for wanker was ""mental masturbator"""
A0562,R_2q3k0S5zgcUy0J2,Arrogant,Arsehole,,He is such an arsehole,People talikng about their boss or a politician,I think this maybe American
A0565,R_3hGgkszzVRBP8Xm,Arrogant,They have their head stuck up their arse,,used at any time to describe an arrogant person,Mainly used to describe someone who wont listen to advise,Refers to them looking for the sunshine that they believe comes out of their arse
A0566,R_3MtW7S6tfm7r7WN,Arrogant,Jumped up / has tickets on himself,,Who does that jumped up dick head think he is? / He has tickets on himself,In conversation- recently,Used a lot - in the workplace
A0568,R_2vZZCNG1qxhQJyo,Arrogant,"bruiser, nark",,,,
A0569,R_24reNCJxrwiw8E7,Arrogant,Tall poppy,,That bloke's a tall poppy that needs to be cut down to size,Used (ironically?) for the tall Poppy awards,Not sure if this is a uniquely Australian term
A0571,R_2xVKJvHD0dsCezS,Arrogant,Smart arse.,,"'He's such a know it all, a real smart arse'.",,
A0573,R_3MGrSHf97IUHBKz,Arrogant,farts don't stink,,He thinks his farts don't stink,When a bloke is touting his credentials,there are variations on this expression
A0574,R_2pMoCxMfGsRlSz7,Arrogant,Pig headed,,He's a pigheaded basted,???,Not really
A0576,R_SPCDRXmWN6czlkt,Arrogant,someone who has tickets on themselves.,,"Morrison thinks he is so good, he sells tickets on himself.",not in current use,I did not know what it meant when I first heard it.
A0577,R_3Oj2ma0EsQ2RQTl,Arrogant,They think they're the ants pants,,,,
A0578,R_21GuyLZ8fZbc1al,Arrogant,Up himself/herself,,"That prick's so up himself, he thinks his shit doesn't stink.","Quite common, used by males and females.",
A0579,R_1NnsBp3kl0uQiTl,Arrogant,His shit doesn't stink or pompas ass,,He thinks his shit doesn't stink as he has his head up his ass.,I'm sure it was once again at school talking about teachers.,I'm ashamed to say that I still describe people like that.
A0580,R_3R8xuCq69n5mPJ1,Arrogant,Thinks his shit don't stink,,That bloke thinks his shut don't stink but his farts give him away!,"All over, often used about politicians or celebrities",
A0581,R_3iCgSqyGkzAxx6R,Arrogant,Snot nosed prick,,He is a snot nosed prick thinking he can do that,I use it often,
A0583,R_xeVNsWxBd379RJL,Arrogant,dickhead,,,,
A0586,R_RJixKuPAJTarfgJ,Arrogant,Up himself,,My boss is really up himself,,
A0588,R_3ptpA3HwRfYhBar,Arrogant,Smart arse,,He is just being a smart arse,,
A0589,R_31sYzxVNiWtUPuS,Arrogant,Up him/herself,,"That politician is totally up himself, he has no idea",Can't think of specifics,
A0590,R_2WAc5JhxdJm5Kiu,Arrogant,he is up himself,,,,
A0591,R_2pKQZA1D1qMT374,Arrogant,Pig headed. are your eyes painted on. Have you got wool in your ears.,,,,
A0592,R_3Dnp6fAQdcjULTi,Arrogant,He's a bit of a tosser,,Richard is a bit of a tosser.,Between friends and colleagues,
A0593,R_3n0gA7vxDcOBOHr,Arrogant,Tosser,,,,
A0594,R_UnmC9RNZeeeypwZ,Arrogant,stuck up prick,,he's a stuck yup prick,occasionally,
A0595,R_YVX6M6WEoykQnbb,Arrogant,Tall poppy,,The new PM's a bit of tall poppy,Literally everywhere,
A0596,R_brBDBzXFJFXCgxj,Arrogant,what a dork,,when a ref makes a wrong decision but will not accept he is wrong,used at footie & other sports games,it applies to any circumstance - not just sports - show-off at work & parties
A0597,R_1PbL4wrVXk8aGlC,Arrogant,Up themself,,"Oh my, they are so up themselves!",,
A0598,R_1CHg3qdFpHbiDP3,Arrogant,They are up themselves,,,,
A0599,R_2AZNYDaw1kV4NUu,Arrogant,Head up his arse,,"Thinks he knows everything, he's got his head up his arse",Often,
A0600,R_2B8rIS4lIXMUqQp,Arrogant,wanker,,Mark McGowan is a wanker,BBQ/football/pub,no
A0601,R_1Kd0XVo3p8asLu1,Arrogant,Up his/her self,,He/she is so far up him/her self it's a wonder they can see daylight,Anytime with friends you see/hear an arrogant person,
A0602,R_2y9NF5FoEvHyKLa,Arrogant,Wanker - cocky,,,,
A0603,R_u9yB8GnhDHpAELv,Arrogant,Stuck up,,Look at her nose up in the air she's so stuck up!,"I think I might have used this one or two times, when I was younger not so much now.",
A0604,R_Z1TVa5bzR8YePiV,Arrogant,Tosser/Fuck Knuckle,,What a tosser!,,
A0605,R_2EGnXWKwYUAGKlm,Arrogant,On yourself,,He's on himself,Last night watching the news,"Dates back to 1960's, Newcastle"
A0606,R_2tmsM6kav4VnxH8,Arrogant,"""up themselves""",,That bloke is up himself.,General conversations around various work places.,This was generally used about someone who would not listen.
A0608,R_2cqtjSfTEovhe5H,Arrogant,up themselves,,S/he is really up themselves,"Friends, colleagues, I use it myself, on TV",
A0610,R_2PiM2coV218mjvA,Arrogant,Dickhead,,He is a real dickhead,Most people I know,
A0611,R_yt4znSw1Xo3OQYV,Arrogant,smartarse,,You're a smartarse mate.,School,
A0612,R_2Pi3eAeItDmeuAi,Arrogant,they have tickets on themselves,,"when disscussing someone from an upperclass, or percieved snob of any kind...they have tickets on themselves.",all over australia,it seems a bit old fashioned. i imagine it is a part of the class system in australia and our willingness to lop tall poppies
A0613,R_so3HOzWtSfPPLFf,Arrogant,He is up himself.,,That guy is up himself.,General conversation.,
A0614,R_2V9EFNWSMcOrikl,Arrogant,Up yourself,,You're so up yourself you can't see what's in front of your face,"Heard This from childhood, a phrase used among friends, family and at work",
A0615,R_1CjNHLRzShGiJph,Arrogant,Smartarse,,I can't stand that smartarse,Can't be specific,
A0617,R_3qjHUtGYza3qXFG,Arrogant,Buttcrack,,What a buttcrack,,
A0618,R_1dyILDg8YWJAPLl,Arrogant,Poncing around,,,Denites being obliviius to situation of others,
A0620,R_Zw76Q7H1o0ZgDgB,Arrogant,Up themselves,,He's so up himself with his fancy car.,,
A0622,R_2V3K0ZF1UGrdgsi,Arrogant,Nob,,He's strutting around like a nob,Used in a derogatory fashion to describe someone who's aspiring to position themselves above others,
A0623,R_21nyQB9pWlsXeVY,Arrogant,up himself,,He's up himself because he has a BA.,Common,
A0624,R_2CPnMxUDWBYnYfZ,Arrogant,Up himself,,He's so up himself,Talking about someone arrogant,
A0626,R_RQ7XE0ChE8rzalr,Arrogant,tosser,,what a tosser,all my life,
A0627,R_1JVA8VYjSieKOWX,Arrogant,Up him/herself.,,"She's so up herself, always thinks she's right.",In casual conversation,
A0628,R_8uY0xJ7Co05Jcm5,Arrogant,Up himself,,He is so far up himself that he believes he doesn't have to queue.,General conversation,
A0629,R_elmaEuVnhJexlBL,Arrogant,stuck up,,,,
A0631,R_215pw8MtHyVdcIT,Arrogant,Up themselves.,,Some politicians are so up themselves with their sense of entitlement.,Friends & family.,Says it all.
