participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0260,R_1dKBQ7AfwvHwKMY,Attractive Person,duck's nuts,,don't you look the duck's nuts,anywhere,
A0261,R_DOekQJmYEDEavHX,Attractive Person,All right,,She's a bit of all right,Older people City and country,
A0262,R_2dz232aPEMq1bcb,Attractive Person,Grouse looking sheila,,You misses is a grouse looking sheila.,I use it regularly since 1990,I was Cruise Director on a Tourist boat on the GBR.  Many yanks asked for a truly Australian expression
A0266,R_3spLCt03LVBz4xA,Attractive Person,A 'hottie'.,,He/she's a bit of a hottie in that tight outfit.,,
A0267,R_2Qh5YAuIJGNLspg,Attractive Person,looker,,She is a bit of a looker,in my youth,
A0269,R_31vf50argU37AzF,Attractive Person,"dish, good sort,",,,,
A0270,R_yIyTQgst0ZYTXQ5,Attractive Person,Cracker,,She's a cracker!,Frequently; in many places,
A0271,R_tG3cKvKFhCYZ6TL,Attractive Person,Stunner,,That's Sheila's a stunner.,Grandparent,Still used at appropriate time.
A0273,R_sGSwpet1PVe4cP7,Attractive Person,Sheela,,Take a gander at that sheela over there.,,
A0277,R_2Qln9slpDyvWmM6,Attractive Person,Eye candy,,I enjoy the eye candy on display down at the shops.,I use it myself,"A much nicer, non-sexualised expression than many used for the beautiful people."
A0279,R_2f6tRnzR2OwFjsD,Attractive Person,Spunk,,"Gee, what a spunk (describing an attractive person)",It is similar to other slang I would use with people of my generation,It's very dated
A0281,R_1ovSt2EI8imuaxH,Attractive Person,"Spunk, horn bag",,That girl is the biggest horn bag i have ever clapped eyes on,"Amongst men at work, at a pub or social gathering",No
A0284,R_em5lN2BYhCZaYqR,Attractive Person,A stunner,,,,
A0286,R_3frDmt2uozbNXl2,Attractive Person,Babe,,He/she is a babe,At work,Lovely person
A0287,R_20SYwpIGYgpFsw1,Attractive Person,Bit of alright,,,,
A0288,R_3PdHqcpdpnFNuqU,Attractive Person,Good sort,,Shes a bit of a good sort,Dad and brother and many ppl,No
A0289,R_cLN54X8W6j53g7D,Attractive Person,Good sort,,"Geez, she's a good sort.",Nowhere in particular,
A0290,R_aXFoUUTxy2zOSKl,Attractive Person,Spink,,She/he/they're a real spunk!,"Universally, including in gay company since 1965.",It can also imply courage.
A0291,R_w1wuXq2QcixaoaB,Attractive Person,Looker,,That bloke/girl is a real looker,Most of my life,
A0292,R_oZ5ZhXXQcpvfkUV,Attractive Person,Spunk,,He's a spunk!,1970s (and early 1980s) Sydney,It was used a lot by teenagers.
A0293,R_x3MEne4MMZGExWx,Attractive Person,Tidy and good looking rooster,,She/he is a tidy unit He's a good looking rooster,Used in polite company when acknowleding the attractiveness of someone else,
A0295,R_2taQBy9dr5TKJQ9,Attractive Person,Looker,,"She's a real looker, ya know what I mean?",,
A0296,R_2t3aIuemDq0wNe3,Attractive Person,Ripper,,She's a ripper girl,Current with mid to older adults,Ripper can apply to anything that is exceptionally good
A0298,R_31yLnliqP3fyGBU,Attractive Person,Spunk,,Wow what a spunk,,
A0300,R_1f1SF1wHp1ab5Cw,Attractive Person,bonza as in bonza sheila or bonza bloke,,when you say attractive- not necessarily good looking but a person good to be a friend (mate) with.,see above comment probably typed in the wrong place. Bloody nong.,
A0303,R_1jfx7AOF98Lxetf,Attractive Person,"Real looka, hottie, spunk",,"What a hottie, she's a real looka",Looka by older people hottie by younger people,Spunky probably used in 70s and 80s
A0307,R_3IY7LEzR14zZsA3,Attractive Person,Dish.,,She's/he's a bit of a dish.,I must admit I haven't heard this for a while.,
A0308,R_2BxET5fPDG5PQME,Attractive Person,Spunky,,Check them out. They're spunky.,Growing up,Spunky could also mean get up and go energy
A0310,R_0liRZp9baDufLhf,Attractive Person,S/he's a bit of alright,,See above,I use it,"I will say, ""orright"""
A0312,R_2CHPFiPVnvahWow,Attractive Person,Spunk,,She's a spunk,Growing up locally,No
A0315,R_rfDrNmoTpJkTESl,Attractive Person,Spunk,,"Wow, what a spunk!","All the time when I was growing up, not so much any more",
A0317,R_Bsahyyjajiw1JWV,Attractive Person,Spunky,,He's/she's a total spunk!,As a teenager in Orange NSW was the first time.,Being confused I was told it referred ejaculate. That the subject was sexually desirable.
A0318,R_1GBPZiCqZkki7t0,Attractive Person,Good sort,,She's a good sort,"Sydney, on childhood visits to relatives","Yeah, nar"
A0319,R_1dBa0PyaRPhGUB3,Attractive Person,Stud muffin,,What a stud muffin!!!,20 years ago,For men
A0320,R_DM0xRnCXN98W0BH,Attractive Person,what a looker,,dis you see him? his a looker,socially,
A0321,R_3qKjFVSoDxvedfV,Attractive Person,A stunner,,,Sydney recently,
A0322,R_12Ggn76eT7M70NR,Attractive Person,Stunner,,Joes new girlfriend is a real stunner,,
A0324,R_QmE01Y5exUClFwl,Attractive Person,glamour,,she is a glamour,early 1960s sydney,
A0325,R_3mjxn15fQ7UELZv,Attractive Person,A spunk.,,Monica Bellucci is a spunk.,"A lot when I was younger, not so much any more.",
A0326,R_doFhewflSJspmjD,Attractive Person,spunk/spunky,,See that spunky chick/guy over there? I'd do him/her.,In conversation and on tv,no
A0327,R_3kBAmbiDoNcF5FQ,Attractive Person,hottie,,professor Sutton the chief hottie,"frequently, re both male and female, although more often females",
A0331,R_pN28w310OiELTq1,Attractive Person,Sort,,She is a good sort,When someone is attractive,
A0333,R_2zc0agLmcfPQNal,Attractive Person,Spunk,,He/she's a real spunk,not for a while,
A0334,R_1n902ByP7NtUzFO,Attractive Person,Spunk,,"Look at the guy, he so spunky.",Not for a while but when I was a teenager often.,Likened to spiffy
A0335,R_3fYIyp7KdWY02cQ,Attractive Person,Spunk,,He is such a spunk,It was very widely used by teenagers in the 1970s,My sisters and I use that term with each other in a nostalgic manner- we tend to be talking about pop stars of the era or old boyfriends if that word is used
A0336,R_UanbLMysT3DW8KJ,Attractive Person,Looker,,Boy she's a looker,Aussie TV - occasionally,Similar to stunner
A0337,R_24NTR1K3M3AHPaN,Attractive Person,Looker,,,,
A0340,R_1LqvQWBYKPz8MTK,Attractive Person,shiela,,She's a good looking shiela!,Used alot in the 70's to speak about a female acquaintance,
A0341,R_XgP26zsU11kiYE1,Attractive Person,stunner,,she is a stunner,general conversation,
A0343,R_3KrTi7JlSJ8rVg8,Attractive Person,Soap on a rope,,I would love to be soap on a rope in her shower,Friends,I think it seemed from a movie I once watched where a guy wished to be soap on a rope in an attractive woman's place only to have her ugly friend have a shower first.
A0344,R_3KqktC0PkDc66V0,Attractive Person,looker,,,,
A0348,R_2Wv429pkOtutucN,Attractive Person,Too chick,,,,
A0349,R_2CfSBExks2C1S1h,Attractive Person,Hot bird,,Tommy's new missus is a pretty hot bird,Among male friends and acquaintances,
A0350,R_125dNrIQyzmYgxM,Attractive Person,good sort,,that sheila is a good sort,,
A0351,R_2rjC4RecDTwI0pt,Attractive Person,A looker,,,,
A0352,R_2P12HydKlx4I7YU,Attractive Person,spunkrat,,That shiela over near the bar is a real spunkrat,In company of other men,
A0353,R_1pYyIJXs28yccMv,Attractive Person,a bit of alright,,She's a bit of alright,when i was young,describes a good looking woman
A0354,R_1P1UY5w2eV1TEeo,Attractive Person,Beaut,,,,
A0355,R_2bIrvPtfwYUv6NZ,Attractive Person,A looker,,He's quite a looker.,All my life in Sydney.,
A0356,R_28BBme9E2stZ8il,Attractive Person,Women - She' a fine figure of a woman - Man - He' a hunk,,Plenty of comments about said women/men,In general conversation,Hunk doesn't seem Aussie
A0357,R_1gckVYljITVFRVo,Attractive Person,"""He/she is easy on the eyes""",,As above.,Past and present.,Nope
A0359,R_2UVNLhQxY2zICp5,Attractive Person,Dishy,,My mother says John Waters is dishy,Older women,
A0360,R_3fcx0jQQaSauhnq,Attractive Person,Stunner,,She's a stunner,Growing up 1960's,No
A0364,R_yr46rPEuTBCcOHv,Attractive Person,Stunner,,,,
A0365,R_1pAqriXH6MtO17V,Attractive Person,Hottie,,She's a bit of a hottie,Anytime I'm with a group of dudes,
A0368,R_b1xmF5xpMvrDFfj,Attractive Person,Wouldn't mind waking up with her draped over the bridge of my nose,,See above,Young adult,
A0369,R_VVWbwmZVfCsz6hj,Attractive Person,Spunk,,What a spunk!,as a teen we would use it to describe an attractive male. I think in the '90's it started to be used for females but now I rarely hear it,
A0371,R_W9ikKBdGbvLxNVn,Attractive Person,Hunk,,,,
